artist|song|youtube_key
Thao  The Get Down Stay Down|Holy Roller|gq3mBIyfzks
Thee Oh Sees|Floods New Light|FefWaX2s4MI
Thelma Plum|Father Said|uoQOVt_C4M4
Them Bruins|Black Widow|jJM3DmS0Amc
Them Swoops|Work Around It|v0ol14Dz3TM
Theme Park|Wax|Duo_2NYW4xo
Thief Urban|Closer|JOss98tLD48
Thundamentals|Brother {Like A Version}|By80vyAJk-0
Tigertown|Morning Has Finally Come|yXdW3D4rLjI
Title Fight|Secret Society|YD-lqmIBNr8
Tokyo Denmark Sweden|When It Breaks|l4OcLN4QPAM
Tomas Barfod|Broken Glass {ft. Jeppe Kjellberg}|adet7e26lUA&playnext=1&list=PLsYjt7UhH2jtDcl11GbHEMWurQrS2qE-r&feature=results_main
Torche|Kicking|F1obEt5dmmo
Toro y Moi|So Many Details|O0_ardwzTrA
Totally Enormous Extinct Dinosaurs|Tapes  Money|zgPIhGKNado
Totally Enormous Extinct Dinosaurs|Household Goods|A_asfZhfTBk
Toucan|Warrior|D7r6pj98tR0
Toy|Motoring|VDYMjvdCWpc
Trouble With Templeton, The|Six Months In A Cast|RIQtcFEbBxU
Tuka|Just To Feel Wanted|VKLGrz9ejXA
Tuka|Die A Happy Man {ft. Jane Tyrrell}|I2VkL5Lc8BM
Tully On Tully|Naked|DU6QD4NP6EQ
Twelve Foot Ninja|Silent Machine|HFSCTfg6gj8
Twelve Foot Ninja|Mother Sky|I83Xp7itj8c
Twerps|He's In Stock|ZaqHLv7lc9g
Twin Shadow -|Five Seconds|HiC9XNQSxFQ
Twinsy|Water Bombs|HdClmPXQiUs
Two Door Cinema Club|Sun|sKyK1Mme9Sc
Two Door Cinema Club|Wake Up|nLmiyhSiCp8
Two Door Cinema Club|Sleep Alone|xr47PW7NkFs
Two Door Cinema Club|Spring|5jQ2HZCn_m8
Two Door Cinema Club|Someday|b0JHQKgjm58
Two Door Cinema Club|Settle|55-g9mIjeXg
Two Door Cinema Club|Next Year|AGNhI4ArkDs
Two Door Cinema Club|Handshake|a6yqpWQMlF8
Two Gallants|My Love Won't Wait|s_HhUGriv5s
Ty Segall|The Hill|oQwLneB9qkk
Ty Segall|Thank God For Sinners|LRHmys84Z34
Tyler Touche|Baguette?|C824KjTsCIc
Ultraista|Bad Insect|v45ZHPeANoE
Underlights|Remnants|VHgXHymaVek&playnext=1&list=PLA9E5ED3BD9F1AE26&feature=results_main
Unknown Mortal Orchestra|Swim And Sleep (Like A Shark)|NSNHofCE4rg
Urthboy|Glimpses {ft. Jane Tyrrell/Jimblah}|fn2oa-EAb-o&playnext=1&list=PL_I8cECRnmcsCGL5VT72G_ji5S5SZMfRK&feature=results_main
Urthboy|Empire Tags|bGQKi7OxZsY
Urthboy|Cleopatra|IzjRtxYzhWo&playnext=1&list=PL_I8cECRnmcsCGL5VT72G_ji5S5SZMfRK&feature=results_main
Urthboy|Stories|Ok-2d64emgw
Urthboy|Naive Bravado {ft. Daniel Merriweather}|-seNeXvj2jc
Urthboy|Clean Slate {ft. Delta}|xhhsVJGJyhA&playnext=1&list=PL6JmfACofwkgC6PvauDCy6FmFQrapEiPc&feature=results_main
Urthboy|On Your Shoulders {ft. Solo/Jimblah}|Gt4ITfcf4RM
Urthboy|Orphan Rocker|u5vD_kX2OzM&playnext=1&list=PL_I8cECRnmcsCGL5VT72G_ji5S5SZMfRK&feature=results_main
Urthboy|Knee Length Socks|7D-2PHBdlF4
Vaccines, The|Teenage Icon|bFUKrsDDChE
Vaccines, The|Tiger Blood|yMQi0aTm8Ho
Vaccines, The|No Hope|S_3eEPpmKwE
Van She|Idea Of Happiness|5OaanwN1vFQ
Van She|Sarah|HVsE3WWcW30
Van She|Calypso|UJ2It8_-Jts
Van She|Jamaica|lLvfceKk7aM
Velociraptor|Cynthia|pFUzzZg3VUA
Velociraptor|Riot|z1WVluFz-RE
Veronica Falls|My Heart Beats|D8XkXtvOD9k
Villagers|Waves|Hoha8iET3us
Villagers|Nothing Arrived|HpWhwcJ2lf4
Violent Soho|Neighbour Neighbour|Js4c8mt_UNs
Violent Soho|Tinderbox|Cwv3M2VRl08
Vitalic|Stamina|50HsOJuvaKY
Vydamo|Gonna Make It|weZwxAv9j4I
Walkmen, The|Heaven|LjTnPc5R06A
Weeknd, The|Wicked Games|O1OTWCd40bc
Whip, The|Movement|nnK_daJrie8
White Rabbits|Temporary|o-4ZlO3XxYQ
Wild Nothing|Shadow|GnRLPaYXvoU
Wild Nothing|Nocturne|OriSm8tUgi4
Wiley|Boom Blast|SGxBOqUTFIQ
Will And The People|Holiday|soIJ0pWw9c8
Willow Beats|From Under The Ground|fyMhi5ubYPA
Willy Mason|I Got Gold|VxyD-0O-Z48
Willy Mason|Pickup Truck|HaDfpqFACwo
Winter People|Two's Company|Q8UfeD8OlB4
Winter People|Gallons|knKzV7jCV-c
Wolf  Cub|See The Light|sdalJGA-Tpk
Wolf  Cub|Salao|K396bKMLpsA
Wordlife|Vision|ippnJFRMpeM
World's End Press|Second Day Uptown|_niZzdYHJe4
Wu-Tang Clan, The|Six Directions Of Boxing|01TQbiSDKHg
XXXChange|You My Fantasy|2SAnSlpMe5A
Xavier Rudd|Follow The Sun|0E1bNmyPWww
Yacht|Le Goudron|fz1F_rLJMYk
Yacht|Second Summer|Z4kyMhIvL_Y
Yeasayer|Damaged Goods|DimLXJIWJRQ
Yeasayer|Blue Paper|JCdtryoFtfI
Yeasayer|Devil And The Deed|KEmNL4N17Zs
Yeasayer|Reagan's Skeleton|RrwUkEMmKZY
Yeasayer|Longevity|ml9oNH4UjzQ
Yeasayer|Henrietta|vo4rbhR_vsk
Yeasayer|Fingers Never Bleed|mFULHG0sLzI
Yeasayer|Demon Road|QnZzmItRv4M
YesYou|Be There|cdEaOtZyQro
YesYou|Frivolous Life {ft. Marcus Azon}|foRe2r_VmWc
Yolanda Be Cool|Change {ft. Nola Darling}|7EjdxH2NWtE
Young Magic|Sparkly|2ydYhTG4LbI
Young Magic|You With Air|RWHExTU8DJ8
Yukon Blonde|Stairway|YruUrGu0rzY
Yung Warriors|Black Boy {Like A Version}|WLUD-Q-bUDM
Yung Warriors|Prey For Better Days {ft. The Egoz/Diafrix/Little G}|xdEJVLIvtQA
Yung Warriors|Standing Strong|clJZDJuf2gs
alt-J|Something Good|CiqkySuoxkc
alt-J|Taro|S3fTw_D3l10
alt-J|Tessellate|Qg6BwvDcANg
alt-J|Breezeblocks|rVeMiVU77wo
alt-J|Fitzpleasure|Rkt4xU2wwhU
xx, The|Reunion|Xc-oGWPlFVA
xx, The|Tides|q9Ts_-9ap50
xx, The|Sunset|M2JrAhmZmpM
xx, The|Angels|_nW5AF0m9Zw
xx, The|Chained|DD7IwXWfDW4
xx, The|Fiction|TlUxKq-vaX8
