artist|song|youtube_key
Fenech-Soler|All I Know|TWrBP6ttlBQ
Finger Prince, The|Your Face|PxNGGR4Z6zo
Fiona Apple|Every Single Night|bIlLq4BqGdg
Fire! Santa Rosa, Fire!|Codebreaker|sdbQMjfCk_8
First Aid Kit|King Of The World|At4HhgHtBHk
First Aid Kit|Wolf|oILduYYv7PY
Fishing|Choy Lin|cLyYGWZqaEM
Flight Facilities|Clair De Lune {ft. Christine Hoberg}|Jcu1AHaTchM
Florence + The Machine|Spectrum (Say My Name) {Calvin Harris Remix}|O4-6Y_91v5I
Flume|Bring You Down {ft. George Maple}|K4Mvvwc2jTE
Flume|Change|dIyKy4A4kBU
Flume|Ezra|8GzwW9AA7Pc
Flume|Holdin On|X_H3cIsenBQ
Flume|Left Alone {ft. Chet Faker}|KTHSHlt7fb8
Flume|On Top {ft. T-Shirt}|9hUV2wNMv4s
Flume|Sintra|J_qWaTo39cg
Flume|What You Need|aHAPkWUbKHo
Flume|Insane {ft. Moon Holiday}|peRS3KGNxoY
Flume|Sleepless {ft. Jezzabell Doran}|aAEQt7wq44w
Flux Pavilion|Daydreamer {ft. Example}|c-dTtBd8mN0
Flying Lotus|See Thru To U {ft. Erykah Badu}|A7lbY-THNHc
Flying Lotus|Putty Boy Strut|SuQGfk9Gmgo
Flying Lotus|Between Friends {ft. Earl Sweatshirt  Captain Murphy}|1FS35SshVxQ
Foals|My Number|JSyz3X0pifM
Foals|Inhaler|qJ_PMvjmC6M
Frank Ocean|Lost|VsCjM7Y5JNY
Frank Ocean|Sweet Life|zInf-88f0Hs
Frank Ocean|Pyramids|s26qTrH2atA
Frank Ocean|Super Rich Kids|GS_K2eg7Gx8
Frank Ocean|Thinkin Bout You|pNBD4OFF8cc
Frank Ocean|Forrest Gump|s7HyAJAQuXc
Frank Ocean|Crack Rock|FKMbPqDIIbU
Freelance Whales|Spitting Image|jrErN8fOpAE
Friends|Mind Control|I90FkC6BMbw
Friends|Friend Crush|gfamBoa_zYQ
Full Tote Odds|Southern Wind|z4nQ6IhGjzo
Full Tote Odds|What's Going Down|kYV5aRgPpEA
Gallows|Last June|PFPZPlHWtII
Gaslight Anthem, The|45|oST77VRHXt0
Gaslight Anthem, The|Handwritten|Lf-rEslupnY
Gay Paris|The Demarcation Of Joseph Hollybone|FJGKsq1hcOg
Gaz Coombes|Hot Fruit|A98oGcccJmo
Geoffrey O'Connor|Proud|ApUA8X52cnY
Giselle|Silk|F_IhJq-Jpdc
Glass Towers|Jumanji|XUKDy5K9uKQ
Glass Towers|Tonight|hu0tdGQTAik
Go Violets|Teenager|QLeI4HCWbRs
Gold Fields|Dark Again (Lights Out)|iroBkNg7bEk
Good Heavens|It's Not Easy Being Mean|C2GEvw5bWT4
Gorillaz|Do Ya Thing {ft. Andre 3000  James Murphy}|M6FUkgFuJ4I
Gossip|Perfect World|lh7_pEjX34U
Gossip|Melody Emergency|nmdtOtyqQyQ
Gossling|Wild Love|0v7TmamxcNo
Graham Coxon|What'll It Take|CNTjHbwIZeE
Grand Salvo|He Raises Her Gently Into A Chair|bSBoF8a9Oro
Grimes|Genesis|1FH-q0I1fJY
Grimes|Oblivion|JtH68PJIQLE
Grinspoon|Passerby|CuiIze-EZT0
Griswolds, The|The Courtship Of Summer Preasley|UyiGRY8zMOg
Griswolds, The|Heart Of A Lion|Hz30ecJAbFA
Grizzly Bear|Sleeping Ute|Hk3tURx8a2Q
Grizzly Bear|Yet Again|bteY_fs3Y18
Grizzly Bear|Speak In Rounds|vK2mwcakibA
Grizzly Bear|Gun-Shy|FHtgvPYKo3o
Grizzly Bear|A Simple Answer|zbnNBrB1g6w
Growl, The|Cleaver Lever|yTX_Wi27PV8
Gung Ho|Strangers|MLie57JH_-g
Gung Ho|Side By Side|UY06ajzAMWU
Gypsy  The Cat|Sorry|Pt9rXLF_uSI
Gypsy  The Cat|Bloom|w3d2a5xpCgw
Haim|Forever|sEwM6ERq0gc
Haim|Don't Save Me|kiqIush2nTA
Half Moon Run|Full Circle|azV0Y7v6wsg
Harts|All Too Real|GnXFJOXvL_A
Hayden Calnin|For My Help|CE92-dRwjjM
Herd, The|A Change Is Gonna Come {ft. Radical Son/Nooky/Sky'High} {Like A Version}|4ACBU_DyYMw
Hermitude|The Villain|DZdUhMK3KjQ
Hermitude|Get In My Life|Fcjr3cLQjCo
Hermitude|HyperParadise {Flume Remix}|4xSF_1I_RAU
Hermitude|HyperParadise|kLPAStzQqqY
Hey Geronimo|Carbon Affair|cYOhJsxGLjA
Hey Geronimo|Why Don't We Do Something?|YrsoluSjuKc
Hiatus Kaiyote|Nakamarra|TYfCBdBeWYQ
High Highs|Open Season|FCySSeANvIc
High Tension|High Risk, High Rewards|_lFRmd79GrM
Hilltop Hoods|Good For Nothing|M6wfqaYggw8
Hilltop Hoods|Living In Bunkers {ft. Black Thought  Lotek}|UHCpj43MEgc
Hilltop Hoods|So What'cha Want {Like A Version}|dY8vf4RWNE4
Hilltop Hoods|Drinking From The Sun|O0qVUODQnaw
Hilltop Hoods|Speaking In Tongues {ft. Chali 2na}|FuDw2QnDTqs
Hilltop Hoods|Now You're Gone|TRwLd5uRsQ8
Hilltop Hoods|Rattling The Keys To The Kingdom|Dr5SnlxIZCA
Hilltop Hoods|Shredding The Balloon|iY9mpiloSIU
Hilltop Hoods|Lights Out|KSr5gsr535I
Hilltop Hoods|The Underground {ft. Classified  Solo}|3upDlgx18NE
His Majesty Andre|Hymn|6ECr5r1wZn0
Hives, The|Wait A Minute|-vz8raXtWlg
Hives, The|Take Back The Toys|0GTC_YhX8Jo
Hives, The|I Want More|9ZvL6-AldkY
Hives, The|Go Right Ahead|ngiSiPAtlzY
Hives, The|1000 Answers|ZIBIK97byfg
Holy Ghost!|It Gets Dark|rwVvqdrePN0
Hot Chip|Look At Where We Are|vMa2orzDzL4
Hot Chip|Flutes|99z1_IMJNl8
