artist|song|youtube_key|spotify_key
Born Joy Dead|Upside Down, Inside Out|qhn0Y0aXqaE|
Born Lion|Good Times Jimmy|s5kV0biaoHI|
Branko|Don't Touch That {Ft. Astronomar & SK Simeon}|ICF934w_fIc|
Brave|What About Me?|ABBI8G3D4wg|
Breton|Envy|1JWOKGK9pis|
Briggs|The Hunt {Ft. Gurrumul}|7o15LOxTGOY|
Briggs|Bad Apples|-MVsBS7OZvo|
Briggs|The Children Came Back {Ft. Gurrumul}  {Like A Version 2014}|Of7JZK8lTEI|
Brighter Later|Brace|HIVoMiFoZEE|
Bring Me The Horizon|Drown|TkV5709EG5M|
British India|Wrong Direction|RbY6ksS7mJ8|
Broadwing|Anodyne||
Brodinski|Can't Help Myself {Ft. SD}|VQu-rJEoYQY|
Brody Dalle|Don't Mess With Me|XE2051n3O-I|
Brody Dalle|Meet The Foetus/Oh The Joy|xtLd2MKPqmg|
Broken Bells|Perfect World|SnmzqnJtNb4|
Broken Bells|Control|o0HG0RTyvYo|
Broken Bells|Medicine|scU4M1YNcjw|
Broken Bells|Leave It Alone|E36_UiCiIxk|
Broken Bells|The Changing Lights|iLSFUIk7pMM|
Broken Bells|Lazy Wonderland|_vF_VsiIC8M|
Broken Bells|After The Disco|PCdvafn4GRg|
Broncho|Class Historian|to-nZLV794g|
Broods|L.A.F.|tNnlYyByWQQ|
Broods|Medicine|gHrLtshcWoM|
Broods|Mother & Father||
Broods|Never Gonna Change|9QrCFSJyabs|
Broods|Killing You|nnpiixr1Enk|
Broods|Everytime|ZW2e6tFBtV0|
Broods|Sober|Ba-S10TLVjg|
Buchanan|Coming Down|RGcyK5X7j6Y|
Buckshot & P-Money|Sweetest Thing {Ft. T'Nah Apex}|t7dCKs5TK5A|
Buckshot & P-Money|Flute {Ft. Joey Bada$$}|P2BJlD5yxb0|
Budos Band, The|The Sticks|tO8CAjZYAY4|
Budos Band, The|Burnt Offering|-gOK9LjTtl8|
Buoy, oh Buoy!|Lonely Avenue||
Busdriver|Colonize The Moon {Ft. Pegasus Warning}|1yKL9_J9rbE|
C.W. Stoneking|The Thing I Done|aikOVPt50jU|
Cairns Murri Crew|Built To Last|XdPvK80IUPo|
Cairos, The|Imaginations||
Cairos, The|Desire|LAsjO3UIUsY|
Caitlin Park|Hold Your Gaze|xjqbv33fR6k|
Caitlin Park|Lemonade|AS1htl7smnk|
Calling All Cars|Psycho Killer {Like A Version 2014}|k2dnVKXaKKk|
Calling All Cars|Good God!|21CmvISCU7o|
Calling All Cars|Standing In The Ocean|nj-DAj0bBec|
Calvin Harris|Pray To God {Ft. HAIM}|Ltm3dHLnDe0|
Cam'ron & A-Trak|Humphrey||
Camden Arc|I Don't Wanna Fall In Love|f2h5kXvRlno|
Camden Arc|Is It Good To You|SFXRIjPr-PM|
Captives|Already Dead|1DH-dGzSpn8|
Captives|Insomnia|1YwXJR5-sEk|
Caribou|Our Love|NywC_RQovt4|
Caribou|All I Ever Need|PFcdXvJIfSM|
Caribou|Can't Do Without You|BI2Et19vDCM|
Caribou|Silver|yvDVyqgaAFo|
Caribou|Second Chance|yb4x_kcdvYE|
Carmada|Maybe|4FTj0-m0L4w|
Caseno|Living It Like A Lion|0_Ad8HjgUvc|
Cash For Gold|Black Metal Queen|NU2Id1bSFUA|
Cash For Gold|Death Train||
Cashmere Cat|Wedding Bells|HM04bKL4oq4|
Cashmere Cat|With Me|be-LbSaEzZQ|
Cassian|Running {Ft. Cleopold}|geefVAF3XNI|
Catfish And The Bottlemen|Pacifier|vWgq8b5vQEY|
Catfish And The Bottlemen|Kathleen|xrrcVxnjJO8|
Catfish And The Bottlemen|Cocoon|Va75GaPv5jY|
Catfish And The Bottlemen|Rango|v6LTDsPMDLY|
Cathedrals|Harlem|h7yuR3iw948|
Catlips|Closed Eyes|CJ5tkX_Kg5Y|
Cazzette|Sleepless {Ft. The High}|k-sfFFnfO8g|
Ceres|Middle Names|VLNN-OsnMOM|
Ceres|Syllables|ETJ8xeW1MpE|
Ceres|I Feel Fine, I Feel Sick||
Chad VanGaalen|Monster|mqzuq7EkzeI|
Chance The Rapper & The Social Experiment|No Better Blues|VI85LTN5rk4|
Chance The Rapper & The Social Experiment|Wonderful Everyday: Arthur|lTkmSKzT3xM|
Chance Waters|The Ticket Inspector|av3kXmCW2ik|
Cheatahs|Leave To Remain|QH_f6XJk7RQ|
Chela|Handful Of Gold|FDHP8OJMpuU|
Chela|Zero|eoHqHGPLqW0|
Chemical Brothers, The|This Is Not A Game {Ft. Miguel/Lorde}|CAgnJxxFtHY|
Chester P|Legends||
Chet Faker|Talk Is Cheap|aP_-P_BS6KY|
Chet Faker|Blush|YZxxnQwakBI|
Chet Faker|(Lover) You Don't Treat Me No Good {Like A Version 2014}|KX3MYsc_A98|
Chet Faker|1998|EIQQnoeepgU|
Chet Faker|Gold|hi4pzKvuEQM|
Chet Faker|Cigarettes & Loneliness||
Chet Faker|To Me|L-J9VEJKx0g|
Chicks Who Love Guns|The Deep End|YLbE_BIhgPY|
Chiefs|It's All Gone {Ft. Owen Rabbit}|mf1i2sros7c|
Chiefs|Stay {Ft. Nick Acquroff}|aechrfjomCE|
Chiefs & Nick Acquroff|Inside Out|GtHIJx7BCNs|
Childhood|As I Am|dzyKPeXod1g|
Childish Gambino|Shadows|WR5w3EufWOo|
Childish Gambino|Sweatpants|ExVtrghW5Y4|
Childish Gambino|Telegraph Ave.|p3f-eDzkxcw|
Childish Gambino|Worldstar||
Childish Gambino|Pink Toes {Ft. Jhene Aiko}|qKC2V8HCk6A|
Childish Gambino|The Worst Guys {Ft. Chance The Rapper}|dwUug-ucBLc|
Childish Gambino|Sober|ayLiAVJ6vTM|
Childish Gambino|Crawl|iFbhSijV41o|
Childsaint|Dessert|-h0L4_dbOsI|
Christian Rich|Better To {Ft. DWNTWN}|gT9AJOqa2UM|
Chrome Sparks|The Meaning Of Love|gm1LT6ZnygQ|
Chromeo|Come Alive {Ft. Toro y Moi}|qMIbjQV2Elg|
Chronixx|Capture Land|YoHzqwLxk_Y|
Chuck Inglish|Legs {Ft. Chromeo}|E20vSoNjK2E|
Chvrches|Strong Hand|3GxIhBQAyL8|
Chvrches|Dead Air|RWhEUR0I9fo|
Chvrches|Get Away|zM0O1Pqjvuw|
Chvrches|Do I Wanna Know? {Like A Version 2014}|CjwwmFrsX_E|
Ciggie Witch|Taylors Lakes||
Ciggie Witch|Long Weekend||
Circa Waves|So Long|5WWIQpNcywk|
Circa Waves|Young Chasers|srP2jLK9fn0|
Circa Waves|Stuck In My Teeth|2Bc9xoQxxkk|
Circles|On My Way|BbMhpppCjuY|
Citizen Kay|Freedoom|jrMIAhctV_U|
Citizen Kay|Manage|XAsayxhvFPw|
City Calm Down|Pavement|HjWUv6d-hmQ|
Clap Clap Riot|Cold As Ice|gl38n_qPQ1w|
Clap Your Hands Say Yeah|Coming Down {Ft. Matt Berninger}|EOSqwvvUpY0|
Clarence Clarity|Those Who Can't, Cheat|FMl8eZoudJE|
Clarens|Trust|m0mNehvSELo|
Clark|Unfurla|wWjKI7Pbgso|
Classixx|Rhythm Santa Clara|VOJvqP9lukI|
Client Liaison|Party / ! (The Song Formerly Known As) {Like A Version 2014}||
Client Liaison|Feed The Rhythm|GVv79XEent8|
Client Liaison|That's Desire|R8TrfIOcVlY|
Client Liaison|Queen||
Client Liaison|Free Of Fear|oo5VopP64Mk|
Closure In Moscow|Neoprene Byzantine|eWzSxg-CjpM|
Cloud Control|Dammit {Like A Version 2014}|_wgVMtk_-pU|
Cloud Nothings|Now Hear In|Oqd3P0Jy58w|
Cloud Nothings|Psychic Trauma|KxeNn_O5u5E|
Cloud Nothings|I'm Not Part Of Me|74TP8QhupLU|
Clue To Kalo|Burning Arrow||
Coathangers, The|Follow Me|TfiBjK3K6tU|
Coin Banks|Think Of You {Ft. Anders/Homeboy Sandman/Tom Scott}|WaAWTXNaqJU|
Coin Banks|Hatches {Ft. Ta-ku/Atom/Like}|NshWQESupOc|
Coin Banks|Someone {Ft. Anders/The Ruby Horns}|Z6GuMTKIkC4|
Cold Clinical Love|Bullet Youth|vTVIGedAAR8|
Cold War Kids|Hold My Home|9xKq5vkXzXA|
Cold War Kids|Hot Coals|yM5i7SgsmUQ|
Cold War Kids|Drive Desperate|LOO7qMWMayM|
Cold War Kids|First|zE23hMLbHg4|
Cold War Kids|All This Could Be Yours|EBvW3Mlcacw|
Collarbones|Turning|i16nkBERgkA|
Collarbones|Only Water {Ft. Oscar Key Sung}||
Collarbones|Burnout|At3DDIOApA8|
Com Truise|Miserere Mei|vEIrHP0Fl_Y|
Com Truise|Wasat|S0O_6Cvbqu4|
Common|Kingdom {Ft. Vince Staples}|dO7sdc6MQVQ|
Common|Speak My Piece|4vqlSsIoxac|
Common|The Neighborhood {Ft. Lil Herb/Cocaine 80s}|uo8PQaZfzNI|
Confession|Holy War|zhRRJcZxhts|
Confession|Fuck Cancer|oBi9gDab5n8|
Cookin' On 3 Burners|Losin' Streak {Ft. Daniel Merriweather}|blvCD6KyG_c|
Cosmo's Midnight|Snare {Ft. Wild Eyed Boy}|FMoxJlpE3-c|
Coucheron|Deep End {Ft. Eastside & Mayer Hawthorne}|tZ_gnHyUzgo|
Courtney Barnett|Pickles From The Jar|Pe1J4mdVNIY|
Courtney Barnett|Bein' Around|IZTtlLNW5mw|
Creases, The|Static Lines|r3BR7XRfDU0|
Creases, The|Gradient|gwdfgGzUXGM|
Crooked Colours|Capricious|Jk2MVg3jduM|
Crooked Colours|In Your Bones|4dsnoef8y-Q|
Crystal Fighters|Love Alight|SdiZqOD05L4|
Cull|Magi Fuel|AqPVptpLfLo|
Cut Copy|Lights Shine On|3t8wCGdCntw|
Cut Copy|In These Arms Of Love|adlYisZlqsM|
Cypher|Child|H4AvemI89b0|
Cypher|Light & Sound||
Cypher|Pretend|CJBlVfuWtaY|
Cyril Hahn|Slow {Ft. Rochelle Jordan}|y-c6wI58EYI|
Cyril Hahn & Javeon|Breaking|IKhfwDXuppM|
D.D Dumbo|I Woke Up Covered In Sand|imzKsh92-Hw|
D.R.A.M.|Cha Cha|j04XrTkpWkQ|
DCUP|Someone Told Me|jie3Ks4KrQY|
DJ Dodger Stadium|Never Win|kV4Gk4I-VX8|
DJ Dodger Stadium|Love Songs|Qi11LVYL8g4|
DJ Shadow|Ghost Town|wBdlEW-iBFw|
DMA's|Feels Like 37|-FYGKg9UfYM|
DMA's|Delete|vKSWC5r1tYg|
DMA's|Laced|NyDIOlkp__Y|
DMA's|So We Know|KcvD5fVjo3M|
DXHeaven|All The Time|NgDGfk-S3pc|
DZ Deathrays|Ocean Exploder|44gUvAuvc38|
DZ Deathrays|Black Rat||
DZ Deathrays|Tonight Alright||
DZ Deathrays|Reflective Skull|h0ePGBdnZ3c|
DZ Deathrays|Gina Works At Hearts|NepkgcTqrm8|
DZ Deathrays|Night Walking||
DZ Deathrays|Less Out Of Sync|7tk7AZgiYq4|
Daily Meds|Behind The Radar|SJgCyDG0ehA|
Daily Meds|Modern Day Messenger {Ft. Thundamentals}||
Dallas Crane|Get Off The Dope||
Damien Jurado|Silver Timothy|A4sQz6Y5g88|
