artist|song|youtube_key|spotify_key|jjj_preview
Ali Barter|Blood|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/f60581a34876c40f3d002318b91ad249.mp3
Ali E|Track One|D9MjCHueT1g||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b6e16f4623d4fec7734b3dfb1121f847.mp3
Alice Skye|1966|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0e10543d4b56c11b2d9403cddd3ad4da.mp3
Alice Skye|For Every Year|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6f6d61aaed88969f3e09ed367f836e0b.mp3
Alina Baraz & Galimatias|Maybe|DuAhRozlD3s||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e1ca3f563e0b4bd8bff08c38f263471e.mp3
Alison Wonderland|Already Gone {Ft. Brave/Lido}|6Q0_ixCbdeo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/ae306be4247f82030c321678751614f1.mp3
Alison Wonderland|Games|Qg5lb6-9qW8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0e63cd81cb4bb7abbb6f532366ddb714.mp3
Alison Wonderland|One More Hit|VnJxCDiF7vo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/db148efcde69f37bdabdda4834cc8a74.mp3
Alison Wonderland|Run|Qc-aNL6egpY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/cd67fd717b5b54b355c8986da0f5b15f.mp3
Alison Wonderland|Take It To Reality {Ft. SAFIA}|fE7FTfpsb-w||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/963ed3ad30884c7fbeb369a386bbfd96.mp3
Alison Wonderland|U Don't Know {Ft. Wayne Coyne}|ysrrGZcLzZU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9a3084e322beac5b3bf55ee4bd591f48.mp3
Alison Wonderland|Carry On {Ft. Johnny Nelson/Ganz}|A8Eu_FEsFi8||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3c3129550db60de9cc0b05989730e8ec.mp3
Alison Wonderland|Back It Up {Alison Wonderland x AWE}|n2f9AG_lg-k||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e059f3ab410aa46dbb81fbace7311286.mp3
All That Remains|This Probably Won't End Well|M_O003Cvwlc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/9a2ea920a7f502c919fa31f43163e947.mp3
All Tvvins|Thank You|iUh8X705Xrc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/c50139d82efb0ca42ceebed72d6260dd.mp3
All We Are|Keep Me Alive|_s6Sx4POl3k||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3a7e67f0177461a3703eecba7b89c2c6.mp3
All We Are|Stone|7dKZe9BYu-I||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b5bbb0bcbc46d92c4a65b6127acb4b76.mp3
